sample_rank,feature_rank,sample_index,true_label,predicted_label,target_class,target_probability,clean_text,feature_name,raw_feature_name,feature_type,feature_value,shap_value
1,1,286,smishing,smishing,smishing,0.9953465399462348,urgent your mobile number has embody awarded a ukp 2000 prize guaranteed call phonetoken from landline claim 3030 valid 12hrs only 150ppm,PHONE,numeric__PHONE,structured,1.0,1.1158319062604722
1,2,286,smishing,smishing,smishing,0.9953465399462348,urgent your mobile number has embody awarded a ukp 2000 prize guaranteed call phonetoken from landline claim 3030 valid 12hrs only 150ppm,phone_count,numeric__phone_count,structured,1.0,0.7305205696848733
1,3,286,smishing,smishing,smishing,0.9953465399462348,urgent your mobile number has embody awarded a ukp 2000 prize guaranteed call phonetoken from landline claim 3030 valid 12hrs only 150ppm,claim,tfidf__claim,tfidf,0.13629651500032983,0.3972930097926748
1,4,286,smishing,smishing,smishing,0.9953465399462348,urgent your mobile number has embody awarded a ukp 2000 prize guaranteed call phonetoken from landline claim 3030 valid 12hrs only 150ppm,prize,tfidf__prize,tfidf,0.1427028295137572,0.3807990664835156
1,5,286,smishing,smishing,smishing,0.9953465399462348,urgent your mobile number has embody awarded a ukp 2000 prize guaranteed call phonetoken from landline claim 3030 valid 12hrs only 150ppm,URL,numeric__URL,structured,0.0,-0.3786389300042678
1,6,286,smishing,smishing,smishing,0.9953465399462348,urgent your mobile number has embody awarded a ukp 2000 prize guaranteed call phonetoken from landline claim 3030 valid 12hrs only 150ppm,urgent,tfidf__urgent,tfidf,0.15824273562634736,0.299590581101745
1,7,286,smishing,smishing,smishing,0.9953465399462348,urgent your mobile number has embody awarded a ukp 2000 prize guaranteed call phonetoken from landline claim 3030 valid 12hrs only 150ppm,landline,tfidf__landline,tfidf,0.18840145400375946,0.23478045782403467
1,8,286,smishing,smishing,smishing,0.9953465399462348,urgent your mobile number has embody awarded a ukp 2000 prize guaranteed call phonetoken from landline claim 3030 valid 12hrs only 150ppm,awarded,tfidf__awarded,tfidf,0.19295600121709766,0.21546971858013225
1,9,286,smishing,smishing,smishing,0.9953465399462348,urgent your mobile number has embody awarded a ukp 2000 prize guaranteed call phonetoken from landline claim 3030 valid 12hrs only 150ppm,embody,tfidf__embody,tfidf,0.14234143801857363,0.19133394138335694
1,10,286,smishing,smishing,smishing,0.9953465399462348,urgent your mobile number has embody awarded a ukp 2000 prize guaranteed call phonetoken from landline claim 3030 valid 12hrs only 150ppm,mobile number,tfidf__mobile number,tfidf,0.2138542598907641,0.182509777647157
2,1,204,smishing,smishing,smishing,0.9945554833262327,we ingest identified some unusual activity on your online banking log in via the secure link http phonetoken 81 urltoken to avoid account suspension,URL,numeric__URL,structured,1.0,2.1456206033575174
2,2,204,smishing,smishing,smishing,0.9945554833262327,we ingest identified some unusual activity on your online banking log in via the secure link http phonetoken 81 urltoken to avoid account suspension,PHONE,numeric__PHONE,structured,1.0,1.1158319062604722
2,3,204,smishing,smishing,smishing,0.9945554833262327,we ingest identified some unusual activity on your online banking log in via the secure link http phonetoken 81 urltoken to avoid account suspension,url_count,numeric__url_count,structured,1.0,-0.8037493135204558
2,4,204,smishing,smishing,smishing,0.9945554833262327,we ingest identified some unusual activity on your online banking log in via the secure link http phonetoken 81 urltoken to avoid account suspension,phone_count,numeric__phone_count,structured,1.0,0.7305205696848733
