message,clean_text,label,label_id,URL,EMAIL,PHONE,url_count,email_count,phone_count
"Miss anything 4 ur ""Best Life"" but, don't miss ur best life for anything... Gud nyt...",miss anything 4 ur best life but don't miss ur best life for anything gud nyt,ham,0,0,0,0,0,0,0
"came to look at the flat, seems ok, in his 50s? * Is away alot wiv work. Got woman coming at 6.30 too.",came to look at the flat seems ok in his 50s is away alot wiv work got woman coming at 6 30 too,ham,0,0,1,0,0,1,0
"if anyone calling from a mobile Co. and asks u to type # <#> or # <#> . Do not do so. Disconnect the call,coz it iz an attempt of 'terrorist' to make use of the sim card .",if anyone calling from a mobile co and asks u to type or do not do so disconnect the call coz it iz an attempt of 'terrorist' to make use of the sim card,ham,0,0,0,0,0,0,0
"said kiss, kiss, i can't do the sound effects! He is a gorgeous man isn't he! Kind of person who needs a smile to brighten his day!",said kiss kiss i can't do the sound effects he is a gorgeous man isn't he kind of person who needs a smile to brighten his day,ham,0,0,0,0,0,0,0
"says that he's quitting at least5times a day so i wudn't take much notice of that. Nah, she didn't mind. Are you gonna see him again? Do you want to come to taunton tonight? U can tell me all about !",says that he's quitting at least5times a day so i wudn't take much notice of that nah she didn't mind are you gonna see him again do you want to come to taunton tonight u can tell me all about,ham,0,0,0,0,0,0,0
"(And my man carlos is definitely coming by mu tonight, no excuses)",and my man carlos is definitely coming by mu tonight no excuses,ham,0,0,0,0,0,0,0
(That said can you text him one more time?),that said can you text him one more time,ham,0,0,0,0,0,0,0
*deep sigh* ... I miss you :-( ... I am really surprised you haven't gone to the net cafe yet to get to me ... Don't you miss me?,deep sigh i miss you i am really surprised you haven't gone to the net cafe yet to get to me don't you miss me,ham,0,0,0,0,0,0,0
... Are you in the pub?,are you in the pub,ham,0,0,0,0,0,0,0
....photoshop makes my computer shut down.,photoshop makes my computer shut down,ham,0,0,0,0,0,0,0
.Please charge my mobile when you get up in morning.,please charge my mobile when you get up in morning,ham,0,0,0,0,0,0,0
:( but your not here....,but your not here,ham,0,0,0,0,0,0,0
:-( sad puppy noise,sad puppy noise,ham,0,0,0,0,0,0,0
:-( that's not v romantic!,that's not v romantic,ham,0,0,0,0,0,0,0
:-) yeah! Lol. Luckily i didn't have a starring role like you!,yeah lol luckily i didn't have a starring role like you,ham,0,0,0,0,0,0,0
";-( oh well, c u later",oh well c u later,ham,0,0,0,0,0,0,0
;-) ok. I feel like john lennon.,ok i feel like john lennon,ham,0,0,0,0,0,0,0
"[...] anyway, many good evenings to u! s",anyway many good evenings to u s,ham,0,0,0,0,0,0,0
1 in cbe. 2 in chennai.,1 in cbe 2 in chennai,ham,0,0,0,0,0,0,0
"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press <#> . 5)Gently remove Ur hand.. Enjoy!!!",1 go to write msg 2 put on dictionary mode 3 cover the screen with hand 4 press 5 gently remove ur hand enjoy,ham,0,0,0,0,0,0,0
"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press <#> . 5)Gently remove Ur hand.. Its interesting..:)",1 go to write msg 2 put on dictionary mode 3 cover the screen with hand 4 press 5 gently remove ur hand its interesting,ham,0,0,0,0,0,0,0
"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press <#> . 5)Gently remove Ur hand.. See what happens",1 go to write msg 2 put on dictionary mode 3 cover the screen with hand 4 press 5 gently remove ur hand see what happens,ham,0,0,0,0,0,0,0
1. Tension face 2. Smiling face 3. Waste face 4. Innocent face 5.Terror face 6.Cruel face 7.Romantic face 8.Lovable face 9.decent face <#> .joker face.,1 tension face 2 smiling face 3 waste face 4 innocent face urltoken face urltoken face urltoken face urltoken face urltoken face joker face,ham,0,1,0,0,5,0,0
1Apple/Day=No Doctor. 1Tulsi Leaf/Day=No Cancer. 1Lemon/Day=No Fat. 1Cup Milk/day=No Bone Problms 3 Litres Watr/Day=No Diseases Snd ths 2 Whom U Care..:-),1apple day no doctor 1tulsi leaf day no cancer 1lemon day no fat 1cup milk day no bone problms 3 litres watr day no diseases snd ths 2 whom u care,ham,0,0,0,0,0,0,0
1's finish meeting call me.,1's finish meeting call me,ham,0,0,0,0,0,0,0
1's reach home call me.,1's reach home call me,ham,0,0,0,0,0,0,0
2 and half years i missed your friendship:-),2 and half years i missed your friendship,ham,0,0,0,0,0,0,0
"2 celebrate my bday, y else?",2 celebrate my b day y else,ham,0,0,0,0,0,0,0
2 laptop... I noe infra but too slow lar... I wan fast one,2 laptop i noe infra but too slow lar i wan fast one,ham,0,0,0,0,0,0,0
26th OF JULY,26th of july,ham,0,0,0,0,0,0,0
2marrow only. Wed at <#> to 2 aha.,2marrow only wed at to 2 aha,ham,0,0,0,0,0,0,0
2mro i am not coming to gym machan. Goodnight.,2mro i am not coming to gym machan goodnight,ham,0,0,0,0,0,0,0
32 am I think? Should say on syllabus,32 am i think should say on syllabus,ham,0,0,0,0,0,0,0
32.5 m but its not a common car here so its better to buy from china or asia. Or if i find it less expensive. I.ll holla,32 5 m but its not a common car here so its better to buy from china or asia or if i find it less expensive urltoken holla,ham,0,1,0,0,1,0,0
