class,feature_name,raw_feature_name,feature_type,mean_abs_shap
smishing,PHONE,numeric__PHONE,structured,0.8386096682162101
smishing,phone_count,numeric__phone_count,structured,0.7140703287082685
smishing,URL,numeric__URL,structured,0.629550327620429
smishing,url_count,numeric__url_count,structured,0.27036595955755083
smishing,claim,tfidf__claim,tfidf,0.06806678177051252
smishing,prize,tfidf__prize,tfidf,0.040302657008828104
smishing,ingest,tfidf__ingest,tfidf,0.035345848970133015
smishing,customer,tfidf__customer,tfidf,0.029925086430749506
smishing,embody,tfidf__embody,tfidf,0.02648928176756085
smishing,phonetoken,tfidf__phonetoken,tfidf,0.02633671203934622
smishing,mobile,tfidf__mobile,tfidf,0.025151157136687082
smishing,contact,tfidf__contact,tfidf,0.023111025974258854
smishing,message,tfidf__message,tfidf,0.02134703605462745
smishing,EMAIL,numeric__EMAIL,structured,0.018423884118350643
smishing,email_count,numeric__email_count,structured,0.018423884118350643
smishing,good,tfidf__good,tfidf,0.018180183307081627
smishing,won,tfidf__won,tfidf,0.018084870906890954
smishing,500,tfidf__500,tfidf,0.01735398139516665
smishing,000,tfidf__000,tfidf,0.01631453790685813
smishing,just,tfidf__just,tfidf,0.015018381968337014
smishing,exist,tfidf__exist,tfidf,0.01358673139352786
smishing,urltoken,tfidf__urltoken,tfidf,0.013118667811382673
smishing,receive,tfidf__receive,tfidf,0.012967678696078004
smishing,ok,tfidf__ok,tfidf,0.012952175734918905
smishing,congratulations,tfidf__congratulations,tfidf,0.012683322747285893
smishing,txt,tfidf__txt,tfidf,0.012388930252757413
smishing,thanks,tfidf__thanks,tfidf,0.011891039573540976
smishing,tone,tfidf__tone,tfidf,0.01157781081139504
smishing,1000,tfidf__1000,tfidf,0.011473280355838621
smishing,cash,tfidf__cash,tfidf,0.011098394851546015
smishing,sms,tfidf__sms,tfidf,0.01081270199836978
smishing,know,tfidf__know,tfidf,0.01077494654433786
smishing,reply,tfidf__reply,tfidf,0.010598234513209905
smishing,update,tfidf__update,tfidf,0.01053025568811356
smishing,send,tfidf__send,tfidf,0.010493685256539705
smishing,opt,tfidf__opt,tfidf,0.010189549124115982
smishing,prize claim,tfidf__prize claim,tfidf,0.009828143193261115
smishing,text,tfidf__text,tfidf,0.00978705014291365
smishing,experience,tfidf__experience,tfidf,0.009628751895988179
smishing,like,tfidf__like,tfidf,0.009193808719518266
